date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
01/01/1993,10.4,4.393,9.291,26.1,0,0,0,4
02/01/1993,9.95,4.239,8.622,24.86,0,0,0.8,0
03/01/1993,9.46,4.124,8.057,23.6,0,0,0.8,0
04/01/1993,9.41,4.363,7.925,23.47,2.4,24.8,0.8,61.6
05/01/1993,26.3,11.962,58.704,60.7,11.2,5.6,33.6,111.2
06/01/1993,32.1,10.237,34.416,98.01,0,0,1.6,0.8
07/01/1993,19.3,7.254,22.263,56.99,5.6,4,17.6,36
08/01/1993,22,7.266,29.587,56.66,1.6,0,1.6,2.4
09/01/1993,35.5,8.153,60.253,78.1,14.4,0.8,55.2,104.8
10/01/1993,51,13.276,93.951,125.7,20.8,2.4,76,136.8
11/01/1993,65.5,25.561,69.503,195.9,10.4,16,12,28
12/01/1993,32,20.715,40.514,125.4,7.2,4,0.8,24
13/01/1993,64.3,36.54,106.753,161.5,39.2,8.8,82.8,118
14/01/1993,69.1,28.457,60.325,204,5.6,1.6,8,12.8
15/01/1993,94.6,33.761,142.159,200.6,36,12,72,72
16/01/1993,99,38.484,77.439,234.4,8.8,2.4,7.2,40
17/01/1993,58.2,21.022,57.103,160.1,6.4,0.8,0,21.6
18/01/1993,34.1,15.191,42.697,104.1,16.8,2.4,44,103.2
19/01/1993,59.8,16.456,79.028,136.4,7.2,0,34.4,86.4
20/01/1993,48,18.587,70.19,137.1,6.4,0,19.2,26.4
21/01/1993,42.6,18.687,88.489,124.3,27.2,4,51.2,80.4
22/01/1993,66.6,26.501,74.365,175.9,4.8,2.4,6.4,18.4
23/01/1993,41.4,23.124,101.231,128.1,40.8,18.4,62.4,120.4
24/01/1993,124,57.874,138.304,270.3,28,16.8,7.2,29.6
25/01/1993,70,34.921,62.332,206.5,2.4,0,0,2.4
26/01/1993,35.4,18.518,43.343,116.4,0.8,0,0,9.6
27/01/1993,33.2,16.112,39.664,92.52,3.2,7.2,0.8,12
28/01/1993,36.3,18.059,61.693,104.3,0.8,6.4,7.2,84.8
29/01/1993,33.9,18.287,43.674,106,0.8,0,4.8,4
30/01/1993,25.8,15.197,31.682,80.07,0,0,0,2.4
31/01/1993,22.1,11.821,26.37,64.14,0,7.2,7.2,4
01/02/1993,20.2,10.624,21.884,56.13,0,0,0.8,4.8
02/02/1993,18.4,9.607,19.046,50.29,0,0,0.8,0
03/02/1993,16.9,6.394,17.181,43.38,0,0,0,0
04/02/1993,15.8,7.112,15.511,40.47,0,0,0.8,0
05/02/1993,14.9,6.213,14.625,37.36,4.8,9.6,0,2.4
06/02/1993,15.5,6.641,14.918,37.74,0.8,7.2,4.8,1.6
07/02/1993,15.8,6.336,14.1,38.31,0,0,1.6,0
08/02/1993,14.9,6.009,12.959,36.22,1.6,0,0,0
09/02/1993,14.6,6.448,13.352,35.92,0.8,0,0,0
10/02/1993,14.7,6.605,13.52,36.61,0,0,0,0.8
11/02/1993,14.4,6.349,13.019,35.6,0,0,0,0
12/02/1993,13.4,5.806,11.879,33.17,0,0,0,0
13/02/1993,-999,5.476,11.051,30.73,0,0,0,0
14/02/1993,11.9,5.275,10.437,29.24,0,0,0,0
15/02/1993,11.4,5.103,9.913,27.48,0,0,28.8,0
16/02/1993,10.8,4.866,9.478,26.18,0,0,0.8,0
17/02/1993,10.4,4.676,8.969,25.14,0,0,8,0
18/02/1993,10.3,4.569,8.846,24.24,1.6,0,38.4,17.6
19/02/1993,9.84,4.378,8.552,23.59,0,0,2.4,0
20/02/1993,9.46,4.089,8.719,22.7,0,0,6.4,0.8
21/02/1993,8.87,3.945,8.013,21.52,0,0,0,0
22/02/1993,8.52,3.777,7.723,20.43,1.6,0,0.8,1.6
23/02/1993,8.71,3.617,7.497,20.35,0,0,1.6,0
24/02/1993,8.5,3.551,7.268,20.12,0,0,0,0
25/02/1993,8.48,3.146,7.078,19.47,1.6,0.8,12,51.2
26/02/1993,8.88,3.278,8.167,20.01,16.8,15.2,4.8,8
27/02/1993,9.45,3.131,8.87,21.74,5.6,0.8,10.4,4
28/02/1993,8.59,2.966,7.842,20.26,5.6,15.2,0.8,0
01/03/1993,8.94,3.36,7.604,20.76,21.6,16,1.6,11.2
02/03/1993,11.5,3.4,7.539,23.62,1.6,0,0.8,9.6
03/03/1993,12.5,3.783,7.599,26.09,1.6,0,0.8,2.4
04/03/1993,10.9,3.613,7.571,24.17,1.6,0,0,0.8
05/03/1993,11.2,3.698,9.979,23.07,0,0,2.4,0.8
06/03/1993,21.8,4.007,18.978,41.84,0,0,0,0
